NUMBER	GLOSS	English	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	Note
Chen-2013-888-520	他们		817	THEY	2	
Chen-2013-888-521	大家		98	ALL	2	
Chen-2013-888-522	自己		1993	SELF	2	
Chen-2013-888-523	别人		2422	SOMEONE	2	
Chen-2013-888-524	这		1214	THIS	2	
Chen-2013-888-525	那		78	THAT	2	
Chen-2013-888-526	什么		1236	WHAT	2	
Chen-2013-888-527	哪个		727	WHICH		
Chen-2013-888-528	哪里		1237	WHERE	2	
Chen-2013-888-529	大		1202	BIG	2	
Chen-2013-888-530	小		1246	SMALL	2	
Chen-2013-888-531	高		1265	HIGH	2	
Chen-2013-888-532	矮、低		721	LOW		
Chen-2013-888-533	长		1203	LONG	2	
Chen-2013-888-534	短		1645	SHORT	2	
Chen-2013-888-535	远		1406	FAR	2	
Chen-2013-888-536	近		1942	NEAR	2	
Chen-2013-888-537	宽		1243	WIDE	2	
