# Wordlist

# DATA
ID	ID	LOCAL_ID	LANGUAGE_ID	PARAMETER_ID	VALUE	FORM	SEGMENTS	COMMENT	SOURCE	COGNACY	LOAN	CONCEPT_NAME	CONCEPT_CONCEPTICON_ID	CONCEPT_CONCEPTICON_GLOSS	LANGUAGE_NAME	LANGUAGE_GLOTTOCODE	LANGUAGE_GLOTTOLOG_NAME	LANGUAGE_ISO639P3CODE	LANGUAGE_MACROAREA	LANGUAGE_FAMILY	DOCULECT	CONCEPT	IPA
11617	bahengeast-Chen-2013-888-479-1		bahengeast	Chen-2013-888-479	kwa⁵⁵le³³	kwa⁵⁵le³³	k w a ⁵⁵ + l e ³³		Chen2013			下边	1485	BELOW OR UNDER	Baheng, East	pahn1237					Baheng, East	下边	kwa⁵⁵+le³³
#
11849	luobuoheeastern-Chen-2013-888-489-1		luobuoheeastern	Chen-2013-888-489	tə⁰²si³¹ȵa²⁴ji³³	tə⁰²si³¹ȵa²⁴ji³³	t ə ²/⁰ + s i ³¹ + ȵ a ²⁴ + j i ³³		Chen2013			中午	12	MIDDAY	Luobuohe, Eastern	luop1235					Luobuohe, Eastern	中午	tə²/⁰+si³¹+ȵa²⁴+ji³³
11850	luobuohewestern-Chen-2013-888-489-1		luobuohewestern	Chen-2013-888-489	ɳʈoŋ³¹n̥ɑ³¹	ɳʈoŋ³¹n̥ɑ³¹	ⁿʈ o ŋ ³¹ + n̥ ɑ ³¹		Chen2013			中午	12	MIDDAY	Luobuohe, Western	luop1235					Luobuohe, Western	中午	ⁿʈoŋ³¹+n̥ɑ³¹
11851	chuanqiandian-Chen-2013-888-489-1		chuanqiandian	Chen-2013-888-489	taŋ⁵⁵nau³¹ʂo⁴⁴	taŋ⁵⁵nau³¹ʂo⁴⁴	t a ŋ ⁵⁵ + n au ³¹ + ʂ o ⁴⁴		Chen2013			中午	12	MIDDAY	Chuanqiandian	chua1256					Chuanqiandian	中午	taŋ⁵⁵+nau³¹+ʂo⁴⁴
11852	chuanqiandiancentralguizhou-Chen-2013-888-489-1		chuanqiandiancentralguizhou	Chen-2013-888-489	ntʂã²⁴n̥ə̃²⁴	ntʂã²⁴n̥ə̃²⁴	ⁿt ʂ ã ²⁴ + n̥ ə̃ ²⁴		Chen2013			中午	12	MIDDAY	Chuanqiandian, Central Guizhou	nort2749					Chuanqiandian, Central Guizhou	中午	ⁿtʂã²⁴+n̥ə̃²⁴
11853	chuanqiandiansouthernguizhou-Chen-2013-888-489-1		chuanqiandiansouthernguizhou	Chen-2013-888-489	pje¹³soŋ³⁵	pje¹³soŋ³⁵	p j e ¹³ + s o ŋ ³⁵		Chen2013			中午	12	MIDDAY	Chuanqiandian, Southern Guizhou	cent1394					Chuanqiandian, Southern Guizhou	中午	pje¹³+soŋ³⁵
11854	chuanqiandiannortheastyunnan-Chen-2013-888-489-1		chuanqiandiannortheastyunnan	Chen-2013-888-489	nɦau³⁵ʂu³³	nɦau³⁵ʂu³³	n ɦ au ³⁵ + ʂ u ³³		Chen2013			中午	12	MIDDAY	Chuanqiandian, Northeast Yunnan	larg1235					Chuanqiandian, Northeast Yunnan	中午	nɦau³⁵+ʂu³³
11858	qiandongeast-Chen-2013-888-489-1		qiandongeast	Chen-2013-888-489	tjuŋ²⁴nei²⁴	tjuŋ²⁴nei²⁴	t j u ŋ ²⁴ + n ei ²⁴		Chen2013			中午	12	MIDDAY	Qiandong, East	east2370					Qiandong, East	中午	tjuŋ²⁴+nei²⁴
11860	qiandongwest-Chen-2013-888-489-1		qiandongwest	Chen-2013-888-489	tjuŋ⁴⁴nei⁴⁴	tjuŋ⁴⁴nei⁴⁴	t j u ŋ ⁴⁴ + n ei ⁴⁴		Chen2013			中午	12	MIDDAY	Qiandong, West						Qiandong, West	中午	tjuŋ⁴⁴+nei⁴⁴
11861	bahengwest-Chen-2013-888-489-1		bahengwest	Chen-2013-888-489	ma⁵⁵ȵoŋ³⁵n̥ei³⁵	ma⁵⁵ȵoŋ³⁵n̥ei³⁵	m a ⁵⁵ + ȵ o ŋ ³⁵ + n̥ ei ³⁵		Chen2013			中午	12	MIDDAY	Baheng, West	pahn1237					Baheng, West	中午	ma⁵⁵+ȵoŋ³⁵+n̥ei³⁵
11862	bahengeast-Chen-2013-888-489-1		bahengeast	Chen-2013-888-489	n̥e³⁵ntjuŋ³⁵	n̥e³⁵ntjuŋ³⁵	n̥ e ³⁵ + ⁿt j u ŋ ³⁵		Chen2013			中午	12	MIDDAY	Baheng, East	pahn1237					Baheng, East	中午	n̥e³⁵+ⁿtjuŋ³⁵
#
11680	luobuohewestern-Chen-2013-888-482-1		luobuohewestern	Chen-2013-888-482	pə⁰⁵ɳʈoŋ³¹	pə⁰⁵ɳʈoŋ³¹	p ə ⁵/⁰ + ⁿʈ o ŋ ³¹		Chen2013			中间	1093	MIDDLE	Luobuohe, Western	luop1235					Luobuohe, Western	中间	pə⁵/⁰+ⁿʈoŋ³¹
11681	chuanqiandian-Chen-2013-888-482-1		chuanqiandian	Chen-2013-888-482	ki²⁴nʈaŋ⁴³	ki²⁴nʈaŋ⁴³	k i ²⁴ + ⁿʈ a ŋ ⁴³		Chen2013			中间	1093	MIDDLE	Chuanqiandian	chua1256					Chuanqiandian	中间	ki²⁴+ⁿʈaŋ⁴³
11682	chuanqiandiancentralguizhou-Chen-2013-888-482-1		chuanqiandiancentralguizhou	Chen-2013-888-482	kã³¹ntʂã²⁴	kã³¹ntʂã²⁴	k ã ³¹ + ⁿt ʂ ã ²⁴		Chen2013			中间	1093	MIDDLE	Chuanqiandian, Central Guizhou	nort2749					Chuanqiandian, Central Guizhou	中间	kã³¹+ⁿtʂã²⁴
