ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
21523	886	and	EasternBahen	Baheng, East	tʰa³⁵	tʰa³⁵	tʰ a ³⁵	pahn1237	1577	27.11733	111.02615	
21524	886	and	WesternBaheng	Baheng, West	na⁴⁴	na⁴⁴	n a ⁴⁴	pahn1237	1577	25.74971	109.286281	
21526	886	and	Bana	Bana	ko⁴⁴	ko⁴⁴	k o ⁴⁴		1577	26.265147	110.096902	
21528	886	and	WesternXiangxi	Xiangxi, West	ɳɑŋ⁴²	ɳɑŋ⁴²	ɳ ɑ ŋ ⁴²	west2430	1577	28.33212	109.422366	
21531	886	and	ZaoMin	Zao Min	ka⁵³	ka⁵³	k a ⁵³	dzao1238	1577	24.612303	112.266749	
21534	886	and	Chuanqiandian	Chuanqiandian	tɕau⁴³	tɕau⁴³	tɕ au ⁴³	chua1256	1577	27.51846	105.421028	
21536	886	and	Younuo	Younuo	la⁴⁴	la⁴⁴	l a ⁴⁴	youn1235	1577	25.730893	110.115975	
21537	886	and	BiaoMin	Biao Min	kin³³	kin³³	k i n ³³	biao1254	1577	25.82286	111.29622	
21538	886	and	EasternLuobuohe	Luobuohe, Eastern	ta³¹	ta³¹	t a ³¹	luop1235	1577	26.63966	107.913354	
21539	886	and	WesternLuobuohe	Luobuohe, Western	tɑ³¹	tɑ³¹	t ɑ ³¹	luop1235	1577	26.854607	107.226676	
21540	886	and	Numao	Numao	tø¹³	tø¹³	t ø ¹³	numa1251	1577	25.447767	108.064732	
21541	886	and	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	nta²²	nta²²	ⁿt a ²²	nort2749	1577	26.231562	106.861969	
12650	521	another person	WesternQiandong	Qiandong, West	moi³³tɕu⁵⁵	moi³³tɕu⁵⁵	m oi ³³ + tɕ u ⁵⁵			26.43106	107.68758	
12651	521	another person	EasternBahen	Baheng, East	heu³⁵nai³³	heu³⁵nai³³	h eu ³⁵ + n ai ³³	pahn1237		27.11733	111.02615	
12652	521	another person	WesternBaheng	Baheng, West	na¹¹mu⁴⁴	na¹¹mu⁴⁴	n a ¹¹ + m u ⁴⁴	pahn1237		25.74971	109.286281	
