ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	PARTIAL_COGNATE_SETS
11932	492	1st day of the lunar month	BiaoMin	Biao Min	tʰjəu³³ʑit⁵³	tʰjəu³³ʑit⁵³	tʰ j əu ³³ + ʑ i t ⁵³	biao1254	3354	25.82286	111.29622		1 6 7 8 9 3 7 1 8	ACXT_AXLT	TJE4_SIT3	2	2.T.C 2.J.C 2.E.V 2.4.T 2._._ 2.S.C 2.I.V 2.T.c 2.3.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.1 1.0	tʰjəu³³+ʑit⁵³	0	32 33
11934	492	1st day of the lunar month	ZaoMin	Zao Min	heŋ⁴⁴ʑot⁴⁴	heŋ⁴⁴ʑot⁴⁴	h e ŋ ⁴⁴ + ʑ o t ⁴⁴	dzao1238	3354	24.612303	112.266749		3 7 4 8 9 3 7 1 8	AXLT_AXLT	HEN5_SUT5	15	15.H.C 15.E.V 15.N.c 15.5.T 15._._ 15.S.C 15.U.V 15.T.c 15.5.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	heŋ⁴⁴+ʑot⁴⁴	0	27 33
11936	492	1st day of the lunar month	Younuo	Younuo	tsʰu⁴⁴je⁵⁵	tsʰu⁴⁴je⁵⁵	tsʰ u ⁴⁴ + j e ⁵⁵	youn1235	3354	25.730893	110.115975		2 7 8 9 6 7 8	AXT_AXT	CY5_JE5	14	14.C.C 14.Y.V 14.5.T 14._._ 14.J.C 14.E.V 14.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	tsʰu⁴⁴+je⁵⁵	0	27 28
11939	492	1st day of the lunar month	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	sʰẽ²⁴ʔi²⁴	sʰẽ²⁴ʔi²⁴	sʰ ẽ ²⁴ + ʔ i ²⁴	nort2749	3354	26.231562	106.861969		3 7 8 9 1 7 8	AXT_AXT	SE2_HI2	3	3.S.C 3.E.V 3.2.T 3._._ 3.H.C 3.I.V 3.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	sʰẽ²⁴+ʔi²⁴	0	27 26
11940	492	1st day of the lunar month	WesternXiangxi	Xiangxi, West	ʔɑ⁴⁴n̥e³⁵ɬɑ⁵³	ʔɑ⁴⁴n̥e³⁵ɬɑ⁵³	ʔ ɑ ⁴⁴ + n̥ e ³⁵ + ɬ ɑ ⁵³	west2430	3354	28.33212	109.422366		1 7 8 9 4 7 8 9 5 7 8	AXT_AXT_AXT	HA5_NE2_LA3	13	13.H.C 13.A.V 13.5.T 13._._ 13.N.C 13.E.V 13.2.T 13._._ 13.L.C 13.A.V 13.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔɑ⁴⁴+n̥e³⁵+ɬɑ⁵³	0	26 31 29
11941	492	1st day of the lunar month	EasternLuobuohe	Luobuohe, Eastern	sen³¹ʔi²⁴	sen³¹ʔi²⁴	s e n ³¹ + ʔ i ²⁴	luop1235	3354	26.63966	107.913354		3 7 4 8 9 1 7 8	AXLT_AXT	SEN3_HI2	6	6.S.C 6.E.V 6.N.c 6.3.T 6._._ 6.H.C 6.I.V 6.2.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	sen³¹+ʔi²⁴	0	27 26
11945	492	1st day of the lunar month	Bana	Bana	tʰjeu¹³ʑi¹³	tʰjeu¹³ʑi¹³	tʰ j eu ¹³ + ʑ i ¹³		3354	26.265147	110.096902		1 6 7 8 9 3 7 8	ACXT_AXT	TJE2_SI2	1	1.T.C 1.J.C 1.E.V 1.2.T 1._._ 1.S.C 1.I.V 1.2.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	tʰjeu¹³+ʑi¹³	0	32 27
11946	492	1st day of the lunar month	EasternXiangxi	Xiangxi, East	ʔa³³n̥ei⁵³ɬa³³	ʔa³³n̥ei⁵³ɬa³³	ʔ a ³³ + n̥ ei ⁵³ + ɬ a ³³	east2371	3354	28.124036	109.890473		1 7 8 9 4 7 8 9 5 7 8	AXT_AXT_AXT	HA4_NE3_LA4	8	8.H.C 8.A.V 8.4.T 8._._ 8.N.C 8.E.V 8.3.T 8._._ 8.L.C 8.A.V 8.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔa³³+n̥ei⁵³+ɬa³³	0	26 31 29
11947	492	1st day of the lunar month	EasternQiandong	Qiandong, East	nei²⁴ʔi²⁴	nei²⁴ʔi²⁴	n ei ²⁴ + ʔ i ²⁴	east2370	3354	27.78098	110.499463		4 7 8 9 1 7 8	AXT_AXT	NE2_HI2	7	7.N.C 7.E.V 7.2.T 7._._ 7.H.C 7.I.V 7.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	nei²⁴+ʔi²⁴	0	31 26
11948	492	1st day of the lunar month	WesternQiandong	Qiandong, West	nei⁴⁴ʔi⁴⁴	nei⁴⁴ʔi⁴⁴	n ei ⁴⁴ + ʔ i ⁴⁴		3354	26.43106	107.68758		4 7 8 9 1 7 8	AXT_AXT	NE5_HI5	12	12.N.C 12.E.V 12.5.T 12._._ 12.H.C 12.I.V 12.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	nei⁴⁴+ʔi⁴⁴	0	31 26
11949	492	1st day of the lunar month	EasternBahen	Baheng, East	ta³³ʑe³⁵	ta³³ʑe³⁵	t a ³³ + ʑ e ³⁵	pahn1237	3354	27.11733	111.02615		1 7 8 9 3 7 8	AXT_AXT	TA4_SE2	5	5.T.C 5.A.V 5.4.T 5._._ 5.S.C 5.E.V 5.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ta³³+ʑe³⁵	0	30 27
11950	492	1st day of the lunar month	Chuanqiandian	Chuanqiandian	sa⁴³ʔi⁴³	sa⁴³ʔi⁴³	s a ⁴³ + ʔ i ⁴³	chua1256	3354	27.51846	105.421028		3 7 8 9 1 7 8	AXT_AXT	SA3_HI3	4	4.S.C 4.A.V 4.3.T 4._._ 4.H.C 4.I.V 4.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	sa⁴³+ʔi⁴³	0	27 26
11952	493	2nd day of the lunar month	WesternBaheng	Baheng, West	heŋ³⁵ʔua³⁵	heŋ³⁵ʔua³⁵	h e ŋ ³⁵ + ʔ u/w a ³⁵	pahn1237	3355	25.74971	109.286281		3 7 4 8 9 1 6 7 8	AXLT_ACXT	HEN2_HWA2	10	10.H.C 10.E.V 10.N.c 10.2.T 10._._ 10.H.C 10.W.C 10.A.V 10.2.T	1.6 3.0 1.1 1.0 0.0 1.6 1.2 3.0 1.0	heŋ³⁵+ʔu/wa³⁵	0	35 36
11953	493	2nd day of the lunar month	Numao	Numao	sai³³ʔøe³³	sai³³ʔøe³³	s ai ³³ + ʔ øe ³³	numa1251	3355	25.447767	108.064732		3 7 8 9 1 7 8	AXT_AXT	SA4_HU4	9	9.S.C 9.A.V 9.4.T 9._._ 9.H.C 9.U.V 9.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	sai³³+ʔøe³³	0	35 36
11954	493	2nd day of the lunar month	WesternLuobuohe	Luobuohe, Western	sen³¹ʔu³¹	sen³¹ʔu³¹	s e n ³¹ + ʔ u ³¹	luop1235	3355	26.854607	107.226676		3 7 4 8 9 1 7 8	AXLT_AXT	SEN3_HY3	11	11.S.C 11.E.V 11.N.c 11.3.T 11._._ 11.H.C 11.Y.V 11.3.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	sen³¹+ʔu³¹	0	35 36
11957	493	2nd day of the lunar month	BiaoMin	Biao Min	tʰjəu³³ȵi⁴²	tʰjəu³³ȵi⁴²	tʰ j əu ³³ + ȵ i ⁴²	biao1254	3355	25.82286	111.29622		1 6 7 8 9 4 7 8	ACXT_AXT	TJE4_NI3	2	2.T.C 2.J.C 2.E.V 2.4.T 2._._ 2.N.C 2.I.V 2.3.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	tʰjəu³³+ȵi⁴²	0	40 37
11959	493	2nd day of the lunar month	ZaoMin	Zao Min	heŋ⁴⁴ȵi²²	heŋ⁴⁴ȵi²²	h e ŋ ⁴⁴ + ȵ i ²²	dzao1238	3355	24.612303	112.266749		3 7 4 8 9 4 7 8	AXLT_AXT	HEN5_NI1	15	15.H.C 15.E.V 15.N.c 15.5.T 15._._ 15.N.C 15.I.V 15.1.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	heŋ⁴⁴+ȵi²²	0	35 37
11961	493	2nd day of the lunar month	Younuo	Younuo	tsʰu⁴⁴ŋji³²	tsʰu⁴⁴ŋji³²	tsʰ u ⁴⁴ + ŋ j i ³²	youn1235	3355	25.730893	110.115975		2 7 8 9 4 6 7 8	AXT_ACXT	CY5_NJI3	14	14.C.C 14.Y.V 14.5.T 14._._ 14.N.C 14.J.C 14.I.V 14.3.T	1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	tsʰu⁴⁴+ŋji³²	0	35 37
