ID	STRUCTURE	FREQUENCY	bahengeast	bahengwest	chuanqiandian	chuanqiandiancentralguizhou	chuanqiandiannortheastyunnan	chuanqiandiansouthernguizhou	luobuoheeastern	luobuohewestern	qiandongeast	qiandongwest	COGNATESETS	CONCEPTS
1-2	t	2	⁵³	⁵³	¹³	³¹	Ø	⁵⁵	Ø	Ø	²¹²	²¹	2592:3, 3673:2	栽 / 祖父
60-2	t	2	⁵³	⁴²	⁴⁴	²⁴	³³	⁵⁵	²⁴	³⁵	⁴⁴	²²	5159:2, 1771:2	念 / 记得
69-2	t	2	⁵³	³⁵	²¹	²⁴	⁵⁵	²¹	³¹	³¹	²⁴	⁴⁴	4975:2, 3824:2	筛 / 蜜（稠）
74-2	t	2	⁵³	⁵³	²⁴	²²	⁵³	¹³	³³	³¹	³³	²²	14:3, 87:2	丈 / 下边
310-2	t	2	⁵³	⁵⁵	⁴⁴	⁴²	³³	³⁵	⁰	Ø	⁴⁴	Ø	5847:2, 1460:3	容易 / 鞋
507-2	t	2	⁵³	⁵³	³³	⁴²	¹¹	¹³	³³	⁵⁵	³⁵	¹¹	1364:3, 4152:2	女儿 / 妹妹 / 姑娘 / 翅膀
637-2	t	2	⁵³	⁴⁴	¹³	²²	⁵³	¹³	²⁴	⁵⁵	³³	²²	1043:2, 2241:3	哪里 / 旁边
695-2	t	2	⁵³	³⁵	²⁴	³¹	³¹	⁵⁵	³³	³¹	⁴⁴	³³	5677:3, 5686:2	火药 / 锍 / 错
147-1	t	1	⁵³	Ø	Ø	³¹	Ø	¹³	Ø	Ø	Ø	⁵³	2758:2	母亲
1041-1	t	1	⁵³	³⁵	¹³	²²	³¹	¹³	²⁴	³⁵	⁵³	Ø	2333:3	不是 / 对 / 是
44-3	t	3	⁴⁴	⁰	⁴³	¹³	⁵⁵	³²	³¹	⁵⁵	²⁴	⁴⁴	6048:2, 5229:3, 2641:2	斑鸠 / 棉絮 / 贱 / 鸽子
719-5	t	5	⁰	³⁵	⁵⁵	⁵⁵	³³	¹¹	³¹	⁵⁵	³⁵	³³	2600:2, 3855:2, 5634:3, 5219:2, 2261:2	尺子 / 旗子 / 桃 / 箱子 / 袜子 / 货物 / 锁
183-4	t	4	⁰	³⁵	²¹	²⁴	³³	⁴²	³¹	Ø	³⁵	⁴⁴	4888:2, 1349:2, 2124:2, 5356:2	奶汁 / 搬 / 蚊子 / 车
405-4	t	4	⁰	⁰	⁵⁵	¹³	³³	⁵⁵	⁰	⁰	³³	⁵³	4210:2, 2943:2, 6126:2, 4444:3	云 / 井 / 兔子 / 剪刀 / 勺子 / 厕所 / 头 / 头巾 / 席子 / 扁担 / 扬尘 / 拳 / 斑鸠 / 柴刀 / 桌子 / 梯子 / 池塘 / 泥巴 / 灰 / 烟 / 瞎子 / 秤 / 筷子 / 糠 / 老鼠 / 聋子 / 胸脯 / 脓 / 脖子 / 芝麻 / 茅草 / 茶 / 螺蛳 / 衣袋 / 被子 / 贼 / 野猪 / 钳子 / 锄头 / 锯子 / 门 / 霜 / 鞭子 / 鸭子 / 鹅 / 黄豆
482-3	t	3	⁰	⁰	²¹	²²	³⁵	²¹	³³	⁵⁵	³³	⁴⁴	4870:4, 2723:2, 4983:3	橘子 / 蚂蚁 / 蜻蜓
511-3	t	3	⁰	¹¹	²¹	³¹	⁵⁵	¹¹	⁵⁵	⁵⁵	⁴⁴	⁴⁴	4615:3, 1008:3, 1845:2	哑巴 / 房子 / 瓦房 / 苍蝇 / 草房
561-3	t	3	⁰	¹¹	⁵⁵	¹³	¹¹	²³²	⁵⁵	⁵⁵	³³	¹³	1549:2, 3184:2, 294:4	仓库 / 尾巴 / 燕子
639-3	t	3	⁰	³⁵	¹³	³¹	³³	¹³	⁵⁵	Ø	³³	²²	4249:2, 5728:2, 4889:2	哑巴 / 瞎子 / 聋子 / 蚊子 / 跛子 / 镜子 / 鸽子
763-3	t	3	⁰	⁰	⁴⁴	⁰	⁵⁵	⁴⁴	⁰	⁰	³³	³³	17:2, 4467:2, 1668:2	丈夫 / 下巴 / 别人 / 叶子 / 嘴，口 / 墙 / 头巾 / 尾巴 / 年纪 / 扬尘 / 晚上 / 木板 / 樹枝 / 火 / 灰 / 翅膀 / 胃 / 脱（衣） / 舌 / 葱 / 裙子 / 裹腿布 / 身体 / 骨头 / 麻雀 / 黄鼠狼
896-3	t	3	⁰	³¹	⁵⁵	²⁴	³¹	²¹	³³	³⁵	²⁴	⁵³	6063:2, 5186:2, 790:2	厕所 / 谜语 / 麻子
1009-3	t	3	⁰	³¹	⁴³	²⁴	⁵⁵	⁴⁴	⁰	⁰	⁴⁴	⁵⁵	3500:2, 4166:2, 2547:2	公牛 / 公鸡 / 名字 / 喇叭 / 坏 / 好 / 嫩 / 尖 / 指甲 / 晚上 / 柿子 / 樹枝 / 母牛 / 母鸡 / 活 / 爪子 / 牙齿 / 生 / 白菜 / 真 / 硬 / 种子 / 空 / 红 / 绿 / 老 / 肛门 / 脚 / 蓝 / 血 / 豆腐 / 路 / 蹄 / 身体 / 软 / 鸡冠 / 黄 / （牛）角
127-2	t	2	⁰	¹¹	²⁴	³¹	³¹	¹¹	⁵⁵	⁵⁵	²¹²	²¹	5788:3, 3647:2	碗 / 茶叶 / 集市
254-2	t	2	⁰	⁵⁵	Ø	³¹	Ø	³²	³¹	³¹	¹³	Ø	1712:3, 120:3	不是 / 影子 / 没有
363-2	t	2	⁰	³¹	⁴⁴	²⁴	³³	³³	²⁴	³⁵	⁵³	³³	2383:3, 5080:3	木匠 / 袖子
765-2	t	2	⁰	⁰	³¹	⁰	³³	Ø	⁰	³⁵	³³	¹³	4233:2, 1893:2	头 / 手指 / 昨天 / 燕子 / 猫 / 石头 / 糠 / 耳朵 / 耳环 / 鼻涕
907-2	t	2	⁰	³⁵	⁴⁴	³¹	³¹	²²	³¹	³¹	⁴⁴	³³	2295:2, 2559:4	明天 / 树干
649-1	t	1	⁰	³³	²¹	Ø	Ø	Ø	Ø	Ø	Ø	Ø	3770:3	窗子
116-4	t	4	Ø	³⁵	²⁴	⁵⁵	¹¹	²¹	³³	³¹	²²	²²	4557:3, 5529:2, 3000:3, 6185:3	浓 / 舌 / 醒 / 齐
2-3	t	3	Ø	⁴²	³¹	⁵⁵	³³	⁵³	Ø	Ø	⁵³	¹¹	4034:2, 5618:3, 1452:2	害羞 / 柱子 / 织布机 / 钳子
792-3	t	3	Ø	³³	³³	⁴²	¹¹	⁴⁴	⁰	³¹	²²	³³	331:2, 343:3, 3455:3	伞 / 你 / 斗笠 / 留
927-3	t	3	Ø	⁵⁵	⁴³	²⁴	⁵⁵	³²	²⁴	³⁵	⁴⁴	³³	228:3, 2337:3, 2855:3	五月 / 晒 / 汗
928-3	t	3	Ø	⁴⁴	²¹	⁴²	³³	²¹	²⁴	⁵⁵	⁵³	²¹	5663:2, 1034:2, 208:3	二十 / 哪个 / 锉子
986-3	t	3	Ø	³⁵	⁴⁴	²⁴	³³	⁵⁵	Ø	³¹	³⁵	³³	5053:3, 5811:2, 2583:3	树梢 / 衣袋 / 霜
90-2	t	2	Ø	³⁵	²¹	¹³	¹¹	³⁵	⁵⁵	⁵⁵	³³	⁴⁴	1889:3, 4027:2	手指 / 纺车
161-2	t	2	Ø	Ø	Ø	²⁴	Ø	Ø	⁵⁵	⁵⁵	³³	¹³	3909:3, 3948:2	米 / 粟 / 糯米
210-2	t	2	Ø	⁵³	³³	⁵⁵	¹¹	¹³	³³	³¹	Ø	⁵⁵	4084:2, 3170:2	熬 / 缝
273-2	t	2	Ø	³³	³³	Ø	Ø	⁴⁴	²⁴	³¹	²²	²²	4861:2, 2418:2	木耳 / 虾
316-2	t	2	Ø	Ø	⁴⁴	¹³	¹¹	¹¹	⁵⁵	³⁵	⁴⁴	⁴⁴	6005:3, 50:2	上边 / 鳞
408-2	t	2	Ø	³³	⁴³	³¹	⁵⁵	⁵⁵	⁵⁵	⁵⁵	¹³	⁵³	434:2, 951:3	八月 / 公牛 / 吹火筒 / 母牛 / 牛 / 牛犊 / 牛肉 / 黄牛
449-2	t	2	Ø	⁴²	²⁴	⁴²	¹¹	⁴⁴	²⁴	³⁵	³⁵	²²	630:2, 5434:2	剥 / 进（屋）
543-2	t	2	Ø	³¹	²⁴	⁰	Ø	⁵³	Ø	³⁵	¹³	³³	1921:3, 2581:2	扣子 / 树梢
556-2	t	2	Ø	Ø	⁴³	⁰	Ø	⁴⁴	⁰	Ø	³⁵	³³	153:2, 5799:2	乌鸦 / 雪
644-2	t	2	Ø	⁴⁴	¹³	²²	¹¹	³³	²⁴	³⁵	⁵³	²²	5379:3, 4392:3	胡须 / 软
704-2	t	2	Ø	Ø	¹³	²²	³⁵	⁵³	³¹	³¹	Ø	⁴⁴	5544:4, 5936:4	里边 / 马蜂窝
791-2	t	2	Ø	¹¹	³³	⁴²	¹¹	⁴⁴	³¹	³¹	Ø	⁴⁴	2201:2, 5687:2	打（人） / 敲 / 纺车 / 错
224-1	t	1	Ø	⁵⁵	³¹	Ø	Ø	³³	³¹	Ø	Ø	Ø	2661:3	棉衣
260-1	t	1	Ø	⁴²	Ø	Ø	Ø	Ø	Ø	Ø	⁵³	²²	2213:2	斗笠 / 磨（面）
366-1	t	1	Ø	⁵³	Ø	²⁴	Ø	Ø	⁰	Ø	Ø	⁴⁴	1363:3	妹妹
