Grapheme	IPA	Template	Note
hj			Gundong Xiashuicun Yanyuan
hw			Xiaozhang
ɦ			Zongdi Shimenpo
i			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
ĩ			Gaopo
iːm			Yanyuan
iːn			Yanyuan
iːŋ			Yanyuan
iːu			Yanyuan
ia			Yaogao Xishan
ian			Xishan
iaŋ			Xishan
iat			Xishan
iau			Shimenpo Xishan
ie			Shibanqiao Shimenpo Yaogao Xishan
iek			Xishan
ien			Xishan
ieŋ			Xishan
iet			Xishan
ieu			Xishan
ik			Xishan Xiashuicun Yanyuan
im			Yaogao Longding Yanyuan Youling
in			Shibanqiao Gaozhai Pingbian Zongdi Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
iŋ			Yaogao Gundong Mao'ao Xishan Yaolu Younuo Xiashuicun Longhua Longding Yanyuan Youling
ip			Longding Yanyuan Youling
it			Xishan Xiashuicun Longhua Longding Yanyuan Shuanglong
iu			Longding Shuanglong Youling
ɪ			Zongdi
j			Younuo Xiashuicun Longhua Youling
jŋ			Bana
k			Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
kʰ			Gaozhai Pingbian Gaopo Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong
kʰj			Qibainong Yaolu Bana Younuo Xiashuicun Longhua Yanyuan Shuanglong
kʰl			Yanyuan Shuanglong
kʰw			Xiaozhang Yaogao Gundong Mao'ao Qibainong Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong
kʰwj			Longding
kj			Qibainong Yaolu Bana Younuo Xiashuicun Longhua Yanyuan Shuanglong Youling
kl			Yanyuan Shuanglong
kw			Zongdi Du’an Xiaozhang Yaogao Gundong Mao'ao Qibainong Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong
kwʰ			Du’an
kwj			Longding
l			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Longhua Longding Yanyuan Shuanglong Youling
lɦ			Shimenpo
lj			Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Yaolu Bana Younuo Longhua Longding Yanyuan Shuanglong Youling
ɬ			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Kailitang Yaogao Heba Gundong Mao'ao Qibainong Yaolu Younuo Longhua Longding Shuanglong
ɬʰ			Kailitang
ɬʰj			Kailitang Heba
ɬj			Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Yaolu Younuo Longhua Longding Shuanglong
ɭ			Zongdi
ɭ̥			Zongdi
m			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
m̥			Gaozhai Gaopo Shimenpo Du’an Xiaozhang Yaogao Gundong Mao'ao Qibainong Yaolu Longhua Longding Shuanglong Youling
mb			Shibanqiao Gaozhai Shimenpo
mbɦ			Shimenpo
mbj			Shibanqiao Gaozhai
mbl			Shibanqiao Gaozhai
mbz			Shibanqiao
m̥ʰ			Kailitang
mɦ			Shimenpo
mj			Shibanqiao Zongdi Du’an Xiaozhang Heba Mao'ao Qibainong Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
m̥j			Mao'ao Qibainong Longding Shuanglong
ml			Gaopo
m̥l			Gaopo
