ID	ENGLISH	REFLEXES	TBL	CONCEPTICON
385	to smell (perceive odor) [transitive]	18	1707	1586
386	to smile	18	1735	1451
387	the smoke	18	0019	778
388	smooth	22	1037	1234
389	the snail	26	0371	1543
390	the snake	20	0347	730
391	snap / break (a stick) (v.)	9		
392	the snot	18	0157	208
393	the snow	16	0012	784
394	to soak / steep	20	1444	2069
395	soft	22	1035	1856
396	the son	24	0220	1620
397	the son-in-law	20	0223	1056
398	the song	22	0656	1096
399	sour	18	1072	1906
400	the south	8	0705	1595
401	the sparrow	20	0336	1854
402	speak (v.)	13		
403	spicy	22	1075	544
404	the spider	26	0361	843
405	the spirit (evil) / demon	12	0670	1973
406	to spit	24	1688	1440
407	splash / sprinkle (v.)	11		
408	to split	20	1500	1437
409	sprinkle / spray (v.)	11		
410	the square or squared	16	0989	
411	to stand	18	1784	1442
412	the star	18	0005	1430
413	to startle / disturb	22	1449	2883
414	to steal	18	1686	713
415	the stick	24	0586	1295
416	the stomach	12	0148	819
417	the stone	22	0043	857
418	the stone (a piece of)	1	0379	857
419	straight	26	1003	1404
420	suck (v.)	9		
421	the summer	22	0792	1342
422	the sun	22	0002	1343
423	to swallow	16	1692	897
424	sweat	18	0154	2458
425	sweet	20	1073	717
426	to swim	22	1763	1439
427	the tail	20	0267	1220
428	tall (stature)	18	0968	711
429	the taste (something)	22	1182	21
430	tasty / delicious	24	1091	1813
431	teach (v.)	12		
432	to tell	32	1337	1711
433	ten	22	0806	1515
434	the tendon (sinew)	20	0130	1137
435	the testicles	20	0117	797
436	that	22	0947	78
437	there	20	0950	1937
438	thick	24	0980	1244
439	the thigh	22	0100	800
440	thin (object)	22	0967	2306
441	to think (reflect)	22	1726	1415
442	thirsty	26	1478	847
443	this	22	0942	1214
444	the thorn	18	0391	124
445	thou [second person singular]	22	0931	1215
446	the thread	18	0461	1161
447	three	18	0799	492
448	to throw	18	1687	1456
449	the thunder	20	0008	1150
450	to tie	16	1141	1917
451	the tiger	24	0304	846
452	tired	24	1495	1757
453	today	22	0738	1283
